Metrik,Provinsi,Nilai_IDR
Pendapatan,BANTEN,50820000000
Pendapatan,MALUKU UTARA,4640000000
Pendapatan,JAWA TIMUR,4430000000
Pendapatan,JAWA BARAT,2980000000
Pendapatan,KALIMANTAN SELATAN,2790000000
Beban,JAWA TIMUR,5020000000
Beban,JAWA BARAT,2880000000
Beban,PAPUA TENGAH,2340000000
Beban,BALI,2210000000
Beban,JAWA TENGAH,1620000000
Aset,JAWA TIMUR,69520000000
Aset,BANTEN,65180000000
Aset,SUMATERA UTARA,42920000000
Aset,JAWA BARAT,27730000000
Aset,JAWA TENGAH,27630000000
Liabilitas,JAWA TIMUR,18290000000
Liabilitas,BALI,12240000000
Liabilitas,JAWA BARAT,6050000000
Liabilitas,JAWA TENGAH,5260000000
Liabilitas,NUSA TENGGARA TIMUR,3160000000
Ekuitas,JAWA TIMUR,35280000000
Ekuitas,SUMATERA UTARA,25130000000
Ekuitas,JAWA TENGAH,23420000000
Ekuitas,JAWA BARAT,19470000000
Ekuitas,NUSA TENGGARA TIMUR,16340000000
