Rank;Provinsi;Kelurahan;Desa;Total;Persentase_Terhadap_Target
1;JAWA TENGAH;760;7764;8524;100.01
2;JAWA TIMUR;775;7719;8494;100.0
3;ACEH;12;6522;6534;100.52
4;SUMATERA UTARA;699;5403;6102;99.87
5;JAWA BARAT;652;5318;5970;100.22
6;NUSA TENGGARA TIMUR;312;3140;3452;100.29
7;SUMATERA SELATAN;408;2859;3267;100.25
8;SULAWESI SELATAN;798;2282;3081;100.72
9;LAMPUNG;207;2444;2651;100.04
10;PAPUA PEGUNUNGAN;9;2378;2387;90.86
11;SULAWESI TENGGARA;381;1892;2273;100.26
12;KALIMANTAN BARAT;101;2055;2156;100.51
13;KALIMANTAN SELATAN;142;1871;2013;99.9
14;SULAWESI TENGAH;178;1805;1983;100.1
15;RIAU;270;1596;1866;100.21
16;SULAWESI UTARA;335;1504;1839;100.0
17;JAMBI;172;1419;1591;100.38
18;BANTEN;314;1239;1553;100.06
19;KALIMANTAN TENGAH;135;1408;1543;98.22
20;BENGKULU;169;1339;1508;99.74
21;SUMATERA BARAT;234;1036;1270;100.4
22;MALUKU;37;1199;1236;100.08
23;PAPUA TENGAH;28;1172;1200;99.34
24;MALUKU UTARA;123;1068;1191;100.51
25;NUSA TENGGARA BARAT;150;1022;1172;100.51
26;KALIMANTAN TIMUR;199;838;1037;99.9
27;PAPUA BARAT DAYA;78;946;1024;101.09
28;PAPUA;52;933;985;98.6
29;PAPUA BARAT;32;794;826;100.24
30;GORONTALO;72;659;731;100.27
31;BALI;80;638;718;100.28
32;SULAWESI BARAT;75;573;648;100.0
33;PAPUA SELATAN;10;630;640;92.75
34;DAERAH ISTIMEWA YOGYAKARTA;46;392;438;100.0
35;KALIMANTAN UTARA;36;375;411;99.52
36;KEPULAUAN RIAU;144;263;407;97.14
37;KEPULAUAN BANGKA BELITUNG;84;309;393;100.0
38;DKI JAKARTA;267;1;268;100.37
